Manufacturer,Mfg Part #,Qty,Reference(s),Description Value Pkg,Note
Analog Devices Inc./Maxim Integrated,MAX17262REWL+T,1,U6,Battery Fuel Gauge IC LiFePO4/Li-ion 9-WLP (1.47x1.45),
ANBON SEMICONDUCTOR (INT'L) LIMITED,BSS138,3,"Q1, Q2, Q3",N-Channel 50 V 220mA (Ta) 350mW (Ta) Surface Mount SOT-23,
Espressif Systems,ESP32-S3-WROOM-2-N32R8V,1,MCU1,"Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount",Alternatives: ESP32-S3-WROOM-2-N16R8V
GCT,USB4105-GF-A,1,J1,"USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole",
Inolux,IN-S42BT5B,1,STATLED1,Blue 467nm LED Indication - Discrete 2.9V 0402 (1005 Metric),
Inolux,IN-S42BT5A,1,STATLED2,Amber 605nm LED Indication - Discrete 2V 0402 (1005 Metric),
JST Sales America Inc.,BM02B-SRSS-TB,2,"ANG1, ANG2","Connector Header Surface Mount 2 position 0.039"" (1.00mm)",
JST Sales America Inc.,S2B-PH-SM4-TB,1,BT1,"Connector Header Surface Mount, Right Angle 2 position 0.079"" (2.00mm)",
JST Sales America Inc.,BM04B-SRSS-TB,2,"TOUCH1, TOUCH2","Connector Header Surface Mount 4 position 0.039"" (1.00mm)",
Kingbright,APHHS1005SURCK,1,CHARGLED1,Red 630nm LED Indication - Discrete 1.95V 0402 (1005 Metric),
Kingbright,APHHS1005SYCK,1,CHARGLED2,Yellow 590nm LED Indication - Discrete 2V 0402 (1005 Metric),
Kingbright,APHHS1005CGCK,1,CHARGLED3,Green 570nm LED Indication - Discrete 2.1V 0402 (1005 Metric),
Microchip Technology,MCP73871-2CCI/ML,1,U2,QFN-20 Battery Management ICs ROHS,
Murata Electronics,GRT155R61C474KE01D,1,C2,0.47 µF ±10% 16V Ceramic Capacitor X5R 0402 (1005 Metric),
Omron Electronics Inc-EMC Div,B3U-1000P,2,"SW1, SW2",Tactile Switch SPST-NO Top Actuated Surface Mount,
onsemi,NCP167AMX330TBG,2,"U3, U5","Linear Voltage Regulator IC Positive Fixed 1 Output 700mA 4-XDFN (1x1), 3.3V",
onsemi,NCP167AMX180TBG,1,U4,"Linear Voltage Regulator IC Positive Fixed 1 Output 700mA 4-XDFN (1x1), 1.8V",
Panasonic Electronic Components,ERJ-2RKF1001X,6,"R1, R3, R8, R10, R22, R24","1 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",
Panasonic Electronic Components,ERJ-2RKF1103X,1,R4,"110 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",
Panasonic Electronic Components,ERJ-2RKF1002X,2,"R5, R9","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",
Panasonic Electronic Components,ERJ-2RKF5101X,2,"R6, R7","5.1 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",
Panasonic Electronic Components,ERJ-2RKF2201X,6,"R14, R15, R16, R19, R21, R23","2.2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",
Panasonic Electronic Components,ERJ-2RKF2492X,1,R17,"24.9 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",
Panasonic Electronic Components,ERJ-2RKF3303X,1,R18,"330 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",
Panasonic Electronic Components,ERJ-2RKF2001X,1,R20,"2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film",
Panasonic Electronic Components,ERT-J0EG103FA,1,TH1,NTC Thermistor 10k 0402 (1005 Metric),
Samsung Electro-Mechanics,CL05B104KO5NNNC,5,"C1, C6, C7, C15, C19",0.1 µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric),
Samsung Electro-Mechanics,CL10A475KO8NNNC,2,"C3, C8",4.7 µF ±10% 16V Ceramic Capacitor X5R 0603 (1608 Metric),
Samsung Electro-Mechanics,CL05A105KO5NNNC,8,"C4, C5, C9, C10, C11, C12, C16, C17",1 µF ±10% 16V Ceramic Capacitor X5R 0402 (1005 Metric),
Samsung Electro-Mechanics,CL10A105KO8NNNC,2,"C13, C14",10 µF ±10% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric),
STMicroelectronics,USBLC6-2P6,1,U1,17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-666,
TDK InvenSense,ICM-20948,1,IMU1,"Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor I²C, SPI Output",
